Game,Year,Host,Developer,Genre,Status,Description,URL,NewsGame
Getting Rid of Citizens United ,2012,Mother Jones,Mother Jones,Quiz,Live,An interactive quiz-based game showing different tracks to overturn Citizens United.,http://www.motherjones.com/politics/2012/05/citizens-united-amendment-flowchart ,TRUE
Gimme Props!,2012,UC Berkeley School of Journalism,Gimmie Props! Team,Quiz,Live,"This is a project seven journalism students, including myself, worked on to cover California's ballot measures in a different way. Several quizzes.",http://bayreporta.com/files/gimme-props/main.html ,TRUE
Glowracer,2012,Wired Magazine,Game the News,Racing,Live,"A driving game exploring the idea of Smart Highways, roadways that glow-in-the-dark. ",http://www.wired.co.uk/news/archive/2012-11/12/gamify-today ,TRUE
Good Guy with a Gun,2016,GOP Arcade,GOP Arcade,Puzzle,Live,A satirical game where you must give firearms to the good guys.,http://www.thegoparcade.com/game/good-guy-with-a-gun,FALSE
Got Swine? ,2009,North By Northwestern,North By Northwestern,Quiz,Live,An interactive quiz-like game exploring whether you should seek medical attention for the flu. ,http://northbynorthwestern.com/story/got-swine/ ,TRUE
Harvest of Change,2015,Des Moines Register,Des Moines Register,Virtual Reality,Live,Unity-powered exploration of a farm that you can interact with. Doesn't load on Chrome.,http://www.desmoinesregister.com/pages/interactives/harvest-of-change/,TRUE
HeartSaver,2013,ProPublica,ProPublica,Strategy,Unplayable,A fast-paced game by ProPublica where you try and save people having heart attacks. ,http://bit.ly/ProPublicaGEN ,TRUE
Helicopter Ben ,2013,Wall Street Journal,Wall Street Journal,Sidescroller,Live,A funny game where you play Federal Reserve Chair Ben Bernanke as you try to prevent economic apocalypse. ,https://dl.dropboxusercontent.com/u/164837919/HelicopterBen/index.html ,TRUE
"How Y’all, Youse and You Guys Talk
",2013,New York Times,New York Times,Quiz,Live,Dialect quiz.,http://www.nytimes.com/interactive/2013/12/20/sunday-review/dialect-quiz-map.html?_r=0,TRUE
Inskeep's Quest ,2013,NPR,NPR,Quiz,Live,Guess the year when a radio segment was aired. ,http://apps.npr.org/drumfill/ ,TRUE
Is Your Sexual History As Impressive As You Think?,2015,Slate,Slate,Quiz,Live,Compares your sexual habits to that of other Americans based on survey results.,http://www.slate.com/articles/life/moneybox/2015/05/sex_history_calculator_is_your_number_of_sexual_partners_low_average_or.html,TRUE
John Kerry:Tax Invaders,2004,Republican Party,Republican Party,Arcade,Live,"Made during the 2004 US Election, a criticism of proposed tax increases by candidate John Kerry.",https://web.archive.org/web/20040517093809/http://www.gop.com/taxinvaders/,FALSE
Kettle,2010,Increpare,Increpare,Puzzle,Live,Puzzle game about using police to kettle protesters; U.K.-based.,http://ded.increpare.com/~locus/kettle/ ,FALSE
Killer Flu ,2009,Persuasive Games,Persuasive Games,Simulation,Unplayable,Strategy game that simulates the difference between the seasonal flu and swine flu. ,http://www.persuasivegames.com/games/game.aspx?game=killerflu,FALSE
Kuma War ,2004,Kuma Games,Kuma Games,Shooter,Live,Real-world simulations of actual modern battles; U.S.-centric.,http://www.kumawar.com/ ,FALSE
Layoff ,2009,Tiltfactor Labs,Tiltfactor Labs,Puzzle,Live,Puzzle game where player matches like professions for downsizing; criticizes American bank bailouts. ,http://www.tiltfactor.org/play-layoff/,FALSE
Madrid,2004,Newsgaming.com,Newsgaming.com,Other,Live,A somber game where the player has to maintain the flames burning in memory of Madrid bombings. ,http://www.newsgaming.com/games/madrid/ ,FALSE
McDonald's World ,2006,Molleindustria,Molleindustria,Simulation,Live,Strategy game that simulates running a transnational fast food company. ,http://www.mcvideogame.com/,FALSE
Migrant Trail,2013,Undocumented Documentary,Marco Williams,Simulation,Live,"A game acommanying the documentary ""The Undocumented"" where you try to safely cross the border from Mexico.",http://theundocumented.com/ ,TRUE
Mission US,2010,WNET 13,WNET 13,Simulation,Live,Immersive US history game geared toward middle and high school students.,http://www.mission-us.org/,FALSE
Mortal Kombat: Obama vs Romney,2012,Huffington Post,Game the News,Puzzle,Live,A wacky debate game where you have to have quick typing skills to win. ,http://www.huffingtonpost.co.uk/tomas-rawlings/obama-romney-moral-kombat-the-obama-vs_b_1981614.html ,TRUE
MTV Fantasy Election '12' ,2012,MTV,MTV,Simulation,Unplayable,This game will allow players to create a fantasy team of candidates to track over the 2012 races. ,http://fantasyelection.mtv.com/ ,FALSE
My Cotton Picking Life,2012,Game the News,Game the News,Other,Live,A tedious game meant to communicate child exploitation in Uzbekistan. ,http://gamethenews.net/index.php/my-cotton-picking-life/ ,TRUE
Never Alone,2014,Upper One Games,Upper One Games,Adventure,Live,"A ""World Game"" that combines game deisgn with Alaska Native storytellers to create a rich and immersive experience.",http://neveralonegame.com/,FALSE
Oiligarchy ,2008,Molleindustria,Molleindustria,Simulation,Live,Strategy game that simulates energy politics through the lens of running an American oil company. ,http://www.molleindustria.org/en/oiligarchy/,FALSE
Operation: Pedopriest,2007,Molleindustria,Molleindustria,Strategy,Live,Silence those who would tell the world of child abuse by priests in this distrubing game.,http://www.molleindustria.org/en/operation-pedopriest/,FALSE
"Papers, Please",2013,Lucas Pope,Lucas Pope,Simulation,Live,"Play the role of a border official in this ""dystopian document thriller.""",http://papersplea.se/,FALSE
Parable of the Polygons,2014,Vi Hart and Nicky Case,Vi Hart and Nicky Case,Puzzle,Live,Puzzle game meant to be a commentary on segregation in society.,http://ncase.me/polygons/ ,FALSE
Peacemaker,2007,Impact Games,Impact Games,Simulation,Live,Take the helm as the Palestinian Authority or Israel in this game showing the difficulties of peace.,http://www.peacemakergame.com/,FALSE
People Power: The Game of Civil Resistance,2010,A Force More Powerful Documentary,Breakaway Games,Simulation,Unplayable,Play the role of a non-violent political force as you attempt to compel change against an oppressive regime.,http://www.aforcemorepowerful.org/game/,FALSE
Phone Story,2011,Molleindustria,Molleindustria,Strategy,Live,"A puzzle game educating players about the life of a smartphone, from raw resource to disposal. Banned by Apple.",http://phonestory.org/game.html ,FALSE
Pic Squared ,2013,Texas Tribune,Texas Tribune,Puzzle,Unplayable,Photo matching game based on the story they represent.,http://s.codepen.io/anon/fullpage/uqpzH ,TRUE
